model_id,corner,vt_v_ngspice,ss_mv_dec_ngspice,ion_a_ngspice,ioff_a_ngspice,dibl_mv_v_ngspice,ron_ohm_ngspice,ron_boost_ohm_ngspice,cgg_f_ngspice,cgd_f_ngspice,igidl_a_ngspice,esw_j_ngspice,ion_per_cgg_ngspice,ron_x_cload_ngspice,ioff_density_a_m2_ngspice,vt_v_spectre,ss_mv_dec_spectre,ion_a_spectre,ioff_a_spectre,dibl_mv_v_spectre,ron_ohm_spectre,ron_boost_ohm_spectre,cgg_f_spectre,cgd_f_spectre,igidl_a_spectre,esw_j_spectre,ion_per_cgg_spectre,ron_x_cload_spectre,ioff_density_a_m2_spectre
3D_gaa_AOS,hot,0.75,13.786330338757004,4.87907e-06,2.22122e-10,0.0,153714.98372670705,114920.51331162611,4.12645e-18,8.88078e-12,2.22122e-10,2.5977864066581247e-17,1182389220758.7637,3.0742996745341413e-09,61700.55555555557,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
3D_gaa_Si,hot,0.75,9.33138711103854,1.83948e-06,6.83539e-13,6.036885646585703,407717.2725345336,291718.6898330202,1.62648e-17,3.41457e-12,6.83539e-13,3.628954638253124e-17,113095765087.79697,8.154345450690674e-09,1412.2706611570247,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
BCAT_125,hot,0.85,9.304887067257674,6.18955e-07,2.20461e-13,6.137033420090793,1373255.7632313194,987697.9317605308,1.14773e-17,1.14881e-12,2.20461e-13,1.6492266334364125e-17,53928624328.02141,2.7465115264626392e-08,124.9778911564626,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_082,hot,0.9,9.42859360629826,2.05456e-06,2.13905e-12,95.30887629773488,438032.9400770938,279375.56457145343,1.07407e-19,3.60129e-12,2.13905e-12,7.066690675503753e-18,19128734626234.79,8.760658801541877e-09,594.1805555555557,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_091,hot,0.9,9.423018814250051,2.16384e-06,2.23381e-12,95.54306420610251,415911.8636548487,265059.0345371922,1.00836e-19,3.7906800000000006e-12,2.23381e-12,7.068663205963202e-18,21459002737117.7,8.318237273096975e-09,620.502777777778,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_102,hot,0.9,9.416097012192337,2.31012e-06,2.35992e-12,95.84314022611623,389574.9737036892,248033.64438589627,9.361079999999999e-20,4.044e-12,2.35992e-12,7.070842404277201e-18,24677921778256.35,7.791499474073786e-09,655.5333333333334,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_125,hot,0.9,10.175341287776956,3.09532e-06,9.30083e-12,95.32370279126906,290755.90072947426,200806.34905052063,9.68984e-20,5.50386e-12,9.30083e-12,7.23963373811685e-18,31943974307109.3,5.815118014589486e-09,2583.5638888888893,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
