model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
BCAT_125,BCAT,ss_125,125.0,0.765,0.765,11.664050167107833,2.63319571e-07,1.87797911e-12,10.749548767634332,2905215.12,1931221.49,4.20359569e-17,4.76909827e-13,1.87797911e-12,9.78880524e-18,6264150751.377328,5.810430240000001e-08,1064.614007936508,4.2e-08,1910.0
VCT_082,VCT,ss_125,125.0,0.81,0.81,13.961283969955929,1.01372997e-06,1.07206224e-10,144.99955506758909,799029.354,508159.491,1.18535806e-17,1.63974622e-12,1.07206224e-10,6.61903068e-18,85520991859.62425,1.5980587080000002e-08,29779.50666666667,6e-08,25420.0
VCT_091,VCT,ss_125,125.0,0.81,0.81,13.943372890249274,1.06132714e-06,1.10902182e-10,139.88524371795052,763195.412,484446.055,1.18703141e-17,1.71337767e-12,1.10902182e-10,6.61427074e-18,89410198505.19373,1.5263908240000003e-08,30806.161666666674,6e-08,26820.0
VCT_102,VCT,ss_125,125.0,0.81,0.81,13.920633024350415,1.12417828e-06,1.15687825e-10,133.53704779440855,720526.287,456239.015,1.18874733e-17,1.8101268e-12,1.15687825e-10,6.61273961e-18,94568311669.73051,1.4410525740000003e-08,32135.50694444445,6e-08,28720.0
VCT_125,VCT,ss_125,125.0,0.81,0.81,14.767354880465419,1.53690965e-06,2.83040622e-10,0.0,527031.631,359336.212,1.21652255e-17,2.55406225e-12,2.83040622e-10,6.76380992e-18,126336305890.91833,1.0540632620000003e-08,78622.39500000002,6e-08,28720.0
3D_gaa_Si,3D_GAA,ss_125,125.0,0.675,0.675,10.386963812999705,8.51928836e-07,1.42176502e-12,9.19185296732064,792319.7,527715.706,1.46811426e-16,1.55288497e-12,1.42176502e-12,2.27610695e-17,5802878285.508923,1.5846394e-08,2937.5310330578513,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ss_125,125.0,0.675,0.675,18.01736308049861,1.57141849e-06,7.35526473e-10,0.0,429548.211,295340.375,6.4264996e-17,2.7104059e-12,7.35526473e-10,1.75937599e-17,24452168175.658176,8.590964220000002e-09,204312.9091666667,6e-08,5000.0
