model_id,corner,t_bl_settle_s_ngspice,i_bl_leak_a_ngspice,t_bl_settle_s_spectre,i_bl_leak_a_spectre
3D_gaa_AOS,ss_125,2.49653e-09,2.27217e-10,3.81136869e-09,2.08026133e-10
3D_gaa_Si,ss_125,2.43376e-09,6.21617e-10,2.91359579e-09,5.37512125e-10
BCAT_125,ss_125,6.16617e-09,2.16163e-10,1.03381236e-08,1.18722592e-10
VCT_082,ss_125,4.79046e-09,1.66803e-10,6.49356318e-09,1.48275766e-10
VCT_091,ss_125,4.65144e-09,1.69493e-10,6.3042691e-09,1.5108755e-10
VCT_102,ss_125,4.48548e-09,1.72832e-10,6.0799447e-09,1.54512854e-10
VCT_125,ss_125,3.40997e-09,2.33954e-10,4.54440369e-09,2.08427405e-10
