model_id,corner,ccell_ff,rel_diff_t_write_s_ngspice_vs_spectre,rel_diff_t_read_s_ngspice_vs_spectre,rel_diff_i_hold_a_ngspice_vs_spectre,rel_diff_q_read_c_ngspice_vs_spectre
3D_gaa_AOS,ff,10.0,0.0001329851085071919,0.00223937827947139,0.2996377592934311,0.06324519315919407
3D_gaa_AOS,ff,20.0,6.652520845101619e-05,0.0029189557145722477,0.3000546293989099,0.04449067140015642
3D_gaa_AOS,ff,30.0,4.6111211698034746e-05,0.002957088945524518,0.2997257389170053,0.026162484088392036
3D_gaa_Si,ff,10.0,5.4113147724506356e-05,0.0014574741938285043,0.7634381480641289,-0.5000289097667074
3D_gaa_Si,ff,20.0,2.443268121977889e-05,0.0014476857052692562,0.7622579661784921,-0.6559879629091997
3D_gaa_Si,ff,30.0,1.8040057052096913e-05,0.0014412417887114495,0.7620526614944352,-0.7277600348639564
BCAT_125,ff,10.0,0.00013652194528322292,0.00671251970747512,88.8981729801886,0.5192276076581372
BCAT_125,ff,20.0,6.826338070029396e-05,0.0066811486211689605,93.61149103094031,0.4926390062599471
BCAT_125,ff,30.0,4.551354924876227e-05,0.006668603118330132,92.68323872984877,0.4814444775034608
VCT_082,ff,10.0,-6.99738482146224e-05,-0.00530896329300246,-0.47024210092596413,0.4616481942642894
VCT_082,ff,20.0,-3.499214518430741e-05,-0.0053381192046975745,-0.4703121916898551,0.48739273946468253
VCT_082,ff,30.0,-2.333335020790841e-05,-0.005347158583958065,-0.4702700640351958,0.4964265938847271
VCT_091,ff,10.0,-6.99738482146224e-05,-0.00521862227769144,-0.4700971881641501,0.4680910063865883
VCT_091,ff,20.0,-3.499214518430741e-05,-0.005245700089597787,-0.4701484213045798,0.4947568581508611
VCT_091,ff,30.0,-2.333335020790841e-05,-0.005256601431186725,-0.4701566727590934,0.5041337717716382
VCT_102,ff,10.0,-6.99738482146224e-05,-0.0050963853379763484,-0.469823121101901,0.47485853225721936
VCT_102,ff,20.0,-3.499214518430741e-05,-0.00513106206592251,-0.4699159992283947,0.5029331981138094
VCT_102,ff,30.0,-2.333335020790841e-05,-0.0051424213994410595,-0.4699183231407875,0.5128132806434421
VCT_125,ff,10.0,-6.983707706982073e-05,-0.0014842701288409258,-0.4661714041640311,0.16053626082241554
VCT_125,ff,20.0,-3.492900366915777e-05,-0.0015022792470069635,-0.46607782915111806,0.21553518922317244
VCT_125,ff,30.0,-2.3285989977574965e-05,-0.0015088289733494826,-0.46607653320437553,0.23788171048782505
