model_id,corner,vt_v_ngspice,ss_mv_dec_ngspice,ion_a_ngspice,ioff_a_ngspice,dibl_mv_v_ngspice,ron_ohm_ngspice,ron_boost_ohm_ngspice,cgg_f_ngspice,cgd_f_ngspice,igidl_a_ngspice,esw_j_ngspice,ion_per_cgg_ngspice,ron_x_cload_ngspice,ioff_density_a_m2_ngspice,vt_v_spectre,ss_mv_dec_spectre,ion_a_spectre,ioff_a_spectre,dibl_mv_v_spectre,ron_ohm_spectre,ron_boost_ohm_spectre,cgg_f_spectre,cgd_f_spectre,igidl_a_spectre,esw_j_spectre,ion_per_cgg_spectre,ron_x_cload_spectre,ioff_density_a_m2_spectre
3D_gaa_AOS,cold,0.75,8.458755272524456,3.99605e-06,3.37464e-13,8.301473989923203,187682.5212519175,137976.7095314311,4.15175e-18,7.35905e-12,3.37464e-13,2.664372382010625e-17,962497741916.0596,3.7536504250383505e-09,93.74,0.75,11.495977459793266,1.67567029e-06,1.06987249e-11,17.022719668754462,447582.084,303768.733,7.414090379999999e-17,2.9742832e-12,1.06987249e-11,2.2814273199999997e-17,22601158120.76194,8.951641680000002e-09,2971.8680277777785
3D_gaa_Si,cold,0.75,5.892566817842164,1.82796e-06,1.20265e-16,3.784560213569765,410286.7083517962,288413.83924966253,1.61078e-17,3.40735e-12,1.20265e-16,3.739708435796249e-17,113482908901.27763,8.205734167035925e-09,0.2484814049586776,0.75,5.743083582390418,1.03987638e-06,3.71049075e-17,4.838227085885105,721239.575,487810.234,1.73779803e-16,1.89882964e-12,3.71049075e-17,3.35572226e-17,5983873626.557167,1.44247915e-08,0.0766630320247934
BCAT_125,cold,0.85,5.875019578755283,5.23846e-07,3.21466e-17,3.786799929722464,1622589.5001278983,1139842.594442664,1.14567e-17,9.78075e-13,3.21466e-17,1.6820930906376498e-17,45723986837.39645,3.245179000255797e-08,0.0182236961451247,0.85,7.388933867448717,2.76153885e-07,2.0906881e-15,6.532084818883036,3077994.0,2068022.41,4.9130528199999995e-17,5.02855441e-13,2.0906881e-15,1.39972243e-17,5620820600.092795,6.155988e-08,1.1851973356009071
VCT_082,cold,0.9,5.676565372489561,1.11473e-06,1.1395e-16,72.89321534138625,807305.2151916901,439697.8787020119,1.0026600000000001e-19,1.92889e-12,1.1395e-16,6.9264719133939016e-18,11117726846588.076,1.6146104303833806e-08,0.0316527777777777,0.9,8.308045890822887,6.15776964e-07,1.1361463e-13,113.52449263436333,1461568.15,819309.696,1.2128878799999999e-17,9.95806108e-13,1.1361463e-13,8.14508821e-18,50769487778.21079,2.9231363000000002e-08,31.559619444444447
VCT_091,cold,0.9,5.675498642071733,1.17314e-06,1.19208e-16,73.04337134814253,767113.0127937404,417546.220046858,9.446449999999999e-20,2.02892e-12,1.19208e-16,6.92738639396685e-18,12418845174642.326,1.5342260255874812e-08,0.0331133333333333,0.9,8.303660993713018,6.46464958e-07,1.18428562e-13,113.99339287156172,1392186.83,779361.67,1.21413065e-17,1.04377695e-12,1.18428562e-13,8.142525189999999e-18,53245090056.82379,2.784373660000001e-08,32.896822777777786
VCT_102,cold,0.9,5.673582899114375,1.25156e-06,1.26255e-16,73.23794356828678,719050.8528742061,391081.601348797,8.806719999999999e-20,2.16314e-12,1.26255e-16,6.9283866608122496e-18,14211420369899.35,1.4381017057484125e-08,0.0350708333333333,0.9,8.297981355254043,6.87431155e-07,1.24771262e-13,114.6010102273752,1309222.01,731634.699,1.21539905e-17,1.10756919e-12,1.24771262e-13,8.139089419999999e-18,56560119493.26437,2.6184440200000006e-08,34.658683888888895
VCT_125,cold,0.9,6.10140136198368,1.87302e-06,1.02051e-15,72.84261442582269,480494.5890970439,301625.76286182523,9.18611e-20,3.32207e-12,1.02051e-15,7.12829624705415e-18,20389697053486.188,9.60989178194088e-09,0.2834750000000001,0.9,8.638551124708306,9.89201202e-07,3.575763e-13,112.41254360485138,909825.017,568462.643,1.2480670099999998e-17,1.65496909e-12,3.575763e-13,8.301931139999999e-18,79258661119.48587,1.819650034e-08,99.32675000000002
