model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
BCAT_125,BCAT,hot,85.0,0.85,0.85,10.367570656694815,3.40540928e-07,5.52908279e-13,8.894929893350566,2496028.91,1719167.6,4.54860185e-17,6.17267322e-13,5.52908279e-13,1.35604983e-17,7486716561.046116,4.992057820000001e-08,313.4400674603175,4.2e-08,1910.0
VCT_082,VCT,hot,85.0,0.9,0.9,12.170980899813069,1.24356184e-06,3.61035897e-11,144.71130875526003,723727.577,471428.413,1.21609367e-17,2.05346395e-12,3.61035897e-11,8.25145368e-18,102258721567.0648,1.4474551540000003e-08,10028.774916666667,6e-08,25420.0
VCT_091,VCT,hot,85.0,0.9,0.9,12.15675416905221,1.30439638e-06,3.74221265e-11,145.29043309977743,689974.318,448688.389,1.21783292e-17,2.15076761e-12,3.74221265e-11,8.24817095e-18,107107991464.05075,1.3799486360000002e-08,10395.035138888892,6e-08,26820.0
VCT_102,VCT,hot,85.0,0.9,0.9,12.138555515529747,1.38512413e-06,3.91374181e-11,146.03772479184238,649761.261,421620.52,1.21965101e-17,2.2794239e-12,3.91374181e-11,8.24781449e-18,113567251504.18233,1.2995225220000004e-08,10871.50502777778,6e-08,28720.0
VCT_125,VCT,hot,85.0,0.9,0.9,12.878543660579963,1.81503485e-06,9.9157159e-11,144.0816358325787,495858.247,343627.717,1.24116658e-17,3.05950905e-12,9.9157159e-11,8.42649421e-18,146236200623.44894,9.917164940000001e-09,27543.655277777783,6e-08,28720.0
3D_gaa_Si,3D_GAA,hot,85.0,0.75,0.75,9.051445392495673,1.09787652e-06,2.57601778e-13,7.439030061894725,683136.936,473205.24,1.59997722e-16,2.00074175e-12,2.57601778e-13,3.21736157e-17,6861825945.246896,1.3662738720000002e-08,532.2350785123967,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,hot,85.0,0.75,0.75,15.845470321306777,2.03894376e-06,3.39209624e-10,0.0,367837.512,256035.454,6.82086951e-17,3.54207889e-12,3.39209624e-10,2.26283332e-17,29892724923.277412,7.356750240000001e-09,94224.89555555557,6e-08,5000.0
