deck,model_id,corner,ccell_ff,vbl_pre_fraction,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
VCT_102_ff_read_30ff_vbl40.sp,VCT_102,ff,30.0,0.4,,,,,
VCT_102_ff_read_30ff_vbl45.sp,VCT_102,ff,30.0,0.45,,,,,
VCT_102_ff_read_30ff_vbl50.sp,VCT_102,ff,30.0,0.5,,,,,
VCT_125_ff_read_10ff_vbl40.sp,VCT_125,ff,10.0,0.4,,,,,
VCT_125_ff_read_10ff_vbl45.sp,VCT_125,ff,10.0,0.45,,,,,
VCT_125_ff_read_10ff_vbl50.sp,VCT_125,ff,10.0,0.5,,,,,
VCT_125_ff_read_15ff_vbl40.sp,VCT_125,ff,15.0,0.4,,,,,
VCT_125_ff_read_15ff_vbl45.sp,VCT_125,ff,15.0,0.45,,,,,
VCT_125_ff_read_15ff_vbl50.sp,VCT_125,ff,15.0,0.5,,,,,
VCT_125_ff_read_20ff_vbl40.sp,VCT_125,ff,20.0,0.4,,,,,
VCT_125_ff_read_20ff_vbl45.sp,VCT_125,ff,20.0,0.45,,,,,
VCT_125_ff_read_20ff_vbl50.sp,VCT_125,ff,20.0,0.5,,,,,
VCT_125_ff_read_30ff_vbl40.sp,VCT_125,ff,30.0,0.4,,,,,
VCT_125_ff_read_30ff_vbl45.sp,VCT_125,ff,30.0,0.45,,,,,
VCT_125_ff_read_30ff_vbl50.sp,VCT_125,ff,30.0,0.5,,,,,
3D_gaa_AOS_ss_read_10ff_vbl40.sp,3D_gaa_AOS,ss,10.0,0.4,,,,,
3D_gaa_AOS_ss_read_10ff_vbl45.sp,3D_gaa_AOS,ss,10.0,0.45,,,,,
3D_gaa_AOS_ss_read_10ff_vbl50.sp,3D_gaa_AOS,ss,10.0,0.5,,,,,
3D_gaa_AOS_ss_read_15ff_vbl40.sp,3D_gaa_AOS,ss,15.0,0.4,,,,,
3D_gaa_AOS_ss_read_15ff_vbl45.sp,3D_gaa_AOS,ss,15.0,0.45,,,,,
3D_gaa_AOS_ss_read_15ff_vbl50.sp,3D_gaa_AOS,ss,15.0,0.5,,,,,
3D_gaa_AOS_ss_read_20ff_vbl40.sp,3D_gaa_AOS,ss,20.0,0.4,,,,,
3D_gaa_AOS_ss_read_20ff_vbl45.sp,3D_gaa_AOS,ss,20.0,0.45,,,,,
3D_gaa_AOS_ss_read_20ff_vbl50.sp,3D_gaa_AOS,ss,20.0,0.5,,,,,
