model_id,ccell_ff,vbl_pre_fraction,gain,sigma_os_mv,t_en_ns,delta_v_bl_v,delta_v_bl_mv,yield_fraction,passes_target,t_en_min_ns,min_delta_v_mv
3D_gaa_AOS,20.0,0.5,20.0,5.0,10.0,0.0264361675,26.4361675,1.0,True,5.0,3.3226316828729736
3D_gaa_AOS,20.0,0.5,20.0,5.0,12.0,0.0285414756,28.541475600000002,1.0,True,5.0,3.3226316828729736
3D_gaa_AOS,20.0,0.5,20.0,5.0,15.0,0.030609755,30.609755,1.0,True,5.0,3.3226316828729736
3D_gaa_AOS,20.0,0.5,20.0,10.0,5.0,0.0159493414,15.949341400000002,1.0,True,5.0,4.145263365745948
3D_gaa_AOS,20.0,0.5,20.0,10.0,8.0,0.0234200094,23.4200094,1.0,True,5.0,4.145263365745948
3D_gaa_AOS,20.0,0.5,20.0,10.0,10.0,0.0264361675,26.4361675,1.0,True,5.0,4.145263365745948
3D_gaa_AOS,20.0,0.5,20.0,10.0,12.0,0.0285414756,28.541475600000002,1.0,True,5.0,4.145263365745948
3D_gaa_AOS,20.0,0.5,20.0,10.0,15.0,0.030609755,30.609755,1.0,True,5.0,4.145263365745948
3D_gaa_AOS,20.0,0.5,20.0,15.0,5.0,0.0159493414,15.949341400000002,1.0,True,5.0,4.967895048618922
3D_gaa_AOS,20.0,0.5,20.0,15.0,8.0,0.0234200094,23.4200094,1.0,True,5.0,4.967895048618922
3D_gaa_AOS,20.0,0.5,20.0,15.0,10.0,0.0264361675,26.4361675,1.0,True,5.0,4.967895048618922
3D_gaa_AOS,20.0,0.5,20.0,15.0,12.0,0.0285414756,28.541475600000002,1.0,True,5.0,4.967895048618922
3D_gaa_AOS,20.0,0.5,20.0,15.0,15.0,0.030609755,30.609755,1.0,True,5.0,4.967895048618922
3D_gaa_AOS,20.0,0.5,20.0,20.0,5.0,0.0159493414,15.949341400000002,1.0,True,5.0,5.7905267314918945
3D_gaa_AOS,20.0,0.5,20.0,20.0,8.0,0.0234200094,23.4200094,1.0,True,5.0,5.7905267314918945
3D_gaa_AOS,20.0,0.5,20.0,20.0,10.0,0.0264361675,26.4361675,1.0,True,5.0,5.7905267314918945
3D_gaa_AOS,20.0,0.5,20.0,20.0,12.0,0.0285414756,28.541475600000002,1.0,True,5.0,5.7905267314918945
3D_gaa_AOS,20.0,0.5,20.0,20.0,15.0,0.030609755,30.609755,1.0,True,5.0,5.7905267314918945
3D_gaa_Si,20.0,0.5,5.0,5.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,13.290526731491894
3D_gaa_Si,20.0,0.5,5.0,5.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,13.290526731491894
3D_gaa_Si,20.0,0.5,5.0,5.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,13.290526731491894
3D_gaa_Si,20.0,0.5,5.0,5.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,13.290526731491894
3D_gaa_Si,20.0,0.5,5.0,5.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,13.290526731491894
3D_gaa_Si,20.0,0.5,5.0,10.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,16.581053462983792
3D_gaa_Si,20.0,0.5,5.0,10.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,16.581053462983792
3D_gaa_Si,20.0,0.5,5.0,10.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,16.581053462983792
3D_gaa_Si,20.0,0.5,5.0,10.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,16.581053462983792
3D_gaa_Si,20.0,0.5,5.0,10.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,16.581053462983792
3D_gaa_Si,20.0,0.5,5.0,15.0,5.0,0.0290625107,29.062510699999997,0.9999999997904453,True,5.0,19.871580194475687
3D_gaa_Si,20.0,0.5,5.0,15.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,19.871580194475687
3D_gaa_Si,20.0,0.5,5.0,15.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,19.871580194475687
3D_gaa_Si,20.0,0.5,5.0,15.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,19.871580194475687
3D_gaa_Si,20.0,0.5,5.0,15.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,19.871580194475687
3D_gaa_Si,20.0,0.5,5.0,20.0,5.0,0.0290625107,29.062510699999997,0.9999981173336465,True,5.0,23.162106925967578
3D_gaa_Si,20.0,0.5,5.0,20.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,23.162106925967578
3D_gaa_Si,20.0,0.5,5.0,20.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,23.162106925967578
3D_gaa_Si,20.0,0.5,5.0,20.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,23.162106925967578
3D_gaa_Si,20.0,0.5,5.0,20.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,23.162106925967578
3D_gaa_Si,20.0,0.5,10.0,5.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,6.645263365745947
3D_gaa_Si,20.0,0.5,10.0,5.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,6.645263365745947
3D_gaa_Si,20.0,0.5,10.0,5.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,6.645263365745947
3D_gaa_Si,20.0,0.5,10.0,5.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,6.645263365745947
3D_gaa_Si,20.0,0.5,10.0,5.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,6.645263365745947
3D_gaa_Si,20.0,0.5,10.0,10.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,8.290526731491896
3D_gaa_Si,20.0,0.5,10.0,10.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,8.290526731491896
3D_gaa_Si,20.0,0.5,10.0,10.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,8.290526731491896
3D_gaa_Si,20.0,0.5,10.0,10.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,8.290526731491896
3D_gaa_Si,20.0,0.5,10.0,10.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,8.290526731491896
3D_gaa_Si,20.0,0.5,10.0,15.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,9.935790097237843
3D_gaa_Si,20.0,0.5,10.0,15.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,9.935790097237843
3D_gaa_Si,20.0,0.5,10.0,15.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,9.935790097237843
3D_gaa_Si,20.0,0.5,10.0,15.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,9.935790097237843
3D_gaa_Si,20.0,0.5,10.0,15.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,9.935790097237843
3D_gaa_Si,20.0,0.5,10.0,20.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,11.581053462983789
3D_gaa_Si,20.0,0.5,10.0,20.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,11.581053462983789
3D_gaa_Si,20.0,0.5,10.0,20.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,11.581053462983789
3D_gaa_Si,20.0,0.5,10.0,20.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,11.581053462983789
3D_gaa_Si,20.0,0.5,10.0,20.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,11.581053462983789
3D_gaa_Si,20.0,0.5,20.0,5.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,3.3226316828729736
3D_gaa_Si,20.0,0.5,20.0,5.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,3.3226316828729736
3D_gaa_Si,20.0,0.5,20.0,5.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,3.3226316828729736
3D_gaa_Si,20.0,0.5,20.0,5.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,3.3226316828729736
3D_gaa_Si,20.0,0.5,20.0,5.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,3.3226316828729736
3D_gaa_Si,20.0,0.5,20.0,10.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,4.145263365745948
3D_gaa_Si,20.0,0.5,20.0,10.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,4.145263365745948
3D_gaa_Si,20.0,0.5,20.0,10.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,4.145263365745948
3D_gaa_Si,20.0,0.5,20.0,10.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,4.145263365745948
3D_gaa_Si,20.0,0.5,20.0,10.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,4.145263365745948
3D_gaa_Si,20.0,0.5,20.0,15.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,4.967895048618922
3D_gaa_Si,20.0,0.5,20.0,15.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,4.967895048618922
3D_gaa_Si,20.0,0.5,20.0,15.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,4.967895048618922
3D_gaa_Si,20.0,0.5,20.0,15.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,4.967895048618922
3D_gaa_Si,20.0,0.5,20.0,15.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,4.967895048618922
3D_gaa_Si,20.0,0.5,20.0,20.0,5.0,0.0290625107,29.062510699999997,1.0,True,5.0,5.7905267314918945
3D_gaa_Si,20.0,0.5,20.0,20.0,8.0,0.0463657456,46.365745600000004,1.0,True,5.0,5.7905267314918945
3D_gaa_Si,20.0,0.5,20.0,20.0,10.0,0.0542808981,54.2808981,1.0,True,5.0,5.7905267314918945
3D_gaa_Si,20.0,0.5,20.0,20.0,12.0,0.0603480757,60.3480757,1.0,True,5.0,5.7905267314918945
3D_gaa_Si,20.0,0.5,20.0,20.0,15.0,0.0671607909,67.16079090000001,1.0,True,5.0,5.7905267314918945
BCAT_125,20.0,0.5,5.0,5.0,5.0,0.00540743202,5.40743202,0.0,False,12.0,13.290526731491894
BCAT_125,20.0,0.5,5.0,5.0,8.0,0.0100874361,10.0874361,0.06967512440521294,False,12.0,13.290526731491894
BCAT_125,20.0,0.5,5.0,5.0,10.0,0.0128524207,12.8524207,0.9956612363560635,False,12.0,13.290526731491894
BCAT_125,20.0,0.5,5.0,5.0,12.0,0.0153667253,15.3667253,0.9999999198209713,True,12.0,13.290526731491894
BCAT_125,20.0,0.5,5.0,5.0,15.0,0.0187422565,18.7422565,1.0,True,12.0,13.290526731491894
BCAT_125,20.0,0.5,5.0,10.0,5.0,0.00540743202,5.40743202,0.0,False,15.0,16.581053462983792
BCAT_125,20.0,0.5,5.0,10.0,8.0,0.0100874361,10.0874361,0.034870848847430594,False,15.0,16.581053462983792
BCAT_125,20.0,0.5,5.0,10.0,10.0,0.0128524207,12.8524207,0.8461923670354832,False,15.0,16.581053462983792
BCAT_125,20.0,0.5,5.0,10.0,12.0,0.0153667253,15.3667253,0.9927114092901814,False,15.0,16.581053462983792
BCAT_125,20.0,0.5,5.0,10.0,15.0,0.0187422565,18.7422565,0.9999876393840825,True,15.0,16.581053462983792
BCAT_125,20.0,0.5,5.0,15.0,5.0,0.00540743202,5.40743202,0.0,False,,19.871580194475687
BCAT_125,20.0,0.5,5.0,15.0,8.0,0.0100874361,10.0874361,0.023251346217043868,False,,19.871580194475687
BCAT_125,20.0,0.5,5.0,15.0,10.0,0.0128524207,12.8524207,0.6582975907400777,False,,19.871580194475687
BCAT_125,20.0,0.5,5.0,15.0,12.0,0.0153667253,15.3667253,0.9263704365942678,False,,19.871580194475687
BCAT_125,20.0,0.5,5.0,15.0,15.0,0.0187422565,18.7422565,0.9964326781013465,False,,19.871580194475687
BCAT_125,20.0,0.5,5.0,20.0,5.0,0.00540743202,5.40743202,0.0,False,,23.162106925967578
BCAT_125,20.0,0.5,5.0,20.0,8.0,0.0100874361,10.0874361,0.017439589728646482,False,,23.162106925967578
BCAT_125,20.0,0.5,5.0,20.0,10.0,0.0128524207,12.8524207,0.5242193225381554,False,,23.162106925967578
BCAT_125,20.0,0.5,5.0,20.0,12.0,0.0153667253,15.3667253,0.820300655276664,False,,23.162106925967578
BCAT_125,20.0,0.5,5.0,20.0,15.0,0.0187422565,18.7422565,0.9711524903153191,False,,23.162106925967578
BCAT_125,20.0,0.5,10.0,5.0,5.0,0.00540743202,5.40743202,0.5848498610603557,False,8.0,6.645263365745947
BCAT_125,20.0,0.5,10.0,5.0,8.0,0.0100874361,10.0874361,1.0,True,8.0,6.645263365745947
BCAT_125,20.0,0.5,10.0,5.0,10.0,0.0128524207,12.8524207,1.0,True,8.0,6.645263365745947
BCAT_125,20.0,0.5,10.0,5.0,12.0,0.0153667253,15.3667253,1.0,True,8.0,6.645263365745947
BCAT_125,20.0,0.5,10.0,5.0,15.0,0.0187422565,18.7422565,1.0,True,8.0,6.645263365745947
BCAT_125,20.0,0.5,10.0,10.0,5.0,0.00540743202,5.40743202,0.3163092865449922,False,8.0,8.290526731491896
BCAT_125,20.0,0.5,10.0,10.0,8.0,0.0100874361,10.0874361,0.9999996370633876,True,8.0,8.290526731491896
BCAT_125,20.0,0.5,10.0,10.0,10.0,0.0128524207,12.8524207,0.9999999999999959,True,8.0,8.290526731491896
BCAT_125,20.0,0.5,10.0,10.0,12.0,0.0153667253,15.3667253,1.0,True,8.0,8.290526731491896
BCAT_125,20.0,0.5,10.0,10.0,15.0,0.0187422565,18.7422565,1.0,True,8.0,8.290526731491896
BCAT_125,20.0,0.5,10.0,15.0,5.0,0.00540743202,5.40743202,0.21408681591628248,False,8.0,9.935790097237843
BCAT_125,20.0,0.5,10.0,15.0,8.0,0.0100874361,10.0874361,0.9993052030110806,True,8.0,9.935790097237843
BCAT_125,20.0,0.5,10.0,15.0,10.0,0.0128524207,12.8524207,0.9999998349679068,True,8.0,9.935790097237843
BCAT_125,20.0,0.5,10.0,15.0,12.0,0.0153667253,15.3667253,0.9999999999951926,True,8.0,9.935790097237843
BCAT_125,20.0,0.5,10.0,15.0,15.0,0.0187422565,18.7422565,1.0,True,8.0,9.935790097237843
BCAT_125,20.0,0.5,10.0,20.0,5.0,0.00540743202,5.40743202,0.16142456962272445,False,10.0,11.581053462983789
BCAT_125,20.0,0.5,10.0,20.0,8.0,0.0100874361,10.0874361,0.9890320423229687,False,10.0,11.581053462983789
BCAT_125,20.0,0.5,10.0,20.0,10.0,0.0128524207,12.8524207,0.9999137053036412,True,10.0,11.581053462983789
BCAT_125,20.0,0.5,10.0,20.0,12.0,0.0153667253,15.3667253,0.999999782079275,True,10.0,11.581053462983789
BCAT_125,20.0,0.5,10.0,20.0,15.0,0.0187422565,18.7422565,0.9999999999936304,True,10.0,11.581053462983789
BCAT_125,20.0,0.5,20.0,5.0,5.0,0.00540743202,5.40743202,1.0,True,5.0,3.3226316828729736
BCAT_125,20.0,0.5,20.0,5.0,8.0,0.0100874361,10.0874361,1.0,True,5.0,3.3226316828729736
BCAT_125,20.0,0.5,20.0,5.0,10.0,0.0128524207,12.8524207,1.0,True,5.0,3.3226316828729736
BCAT_125,20.0,0.5,20.0,5.0,12.0,0.0153667253,15.3667253,1.0,True,5.0,3.3226316828729736
BCAT_125,20.0,0.5,20.0,5.0,15.0,0.0187422565,18.7422565,1.0,True,5.0,3.3226316828729736
BCAT_125,20.0,0.5,20.0,10.0,5.0,0.00540743202,5.40743202,0.9999999939316813,True,5.0,4.145263365745948
BCAT_125,20.0,0.5,20.0,10.0,8.0,0.0100874361,10.0874361,1.0,True,5.0,4.145263365745948
BCAT_125,20.0,0.5,20.0,10.0,10.0,0.0128524207,12.8524207,1.0,True,5.0,4.145263365745948
BCAT_125,20.0,0.5,20.0,10.0,12.0,0.0153667253,15.3667253,1.0,True,5.0,4.145263365745948
BCAT_125,20.0,0.5,20.0,10.0,15.0,0.0187422565,18.7422565,1.0,True,5.0,4.145263365745948
BCAT_125,20.0,0.5,20.0,15.0,5.0,0.00540743202,5.40743202,0.9998940632814873,True,5.0,4.967895048618922
BCAT_125,20.0,0.5,20.0,15.0,8.0,0.0100874361,10.0874361,1.0,True,5.0,4.967895048618922
BCAT_125,20.0,0.5,20.0,15.0,10.0,0.0128524207,12.8524207,1.0,True,5.0,4.967895048618922
BCAT_125,20.0,0.5,20.0,15.0,12.0,0.0153667253,15.3667253,1.0,True,5.0,4.967895048618922
BCAT_125,20.0,0.5,20.0,15.0,15.0,0.0187422565,18.7422565,1.0,True,5.0,4.967895048618922
BCAT_125,20.0,0.5,20.0,20.0,5.0,0.00540743202,5.40743202,0.9963559046069013,False,8.0,5.7905267314918945
BCAT_125,20.0,0.5,20.0,20.0,8.0,0.0100874361,10.0874361,0.9999999999999674,True,8.0,5.7905267314918945
BCAT_125,20.0,0.5,20.0,20.0,10.0,0.0128524207,12.8524207,1.0,True,8.0,5.7905267314918945
BCAT_125,20.0,0.5,20.0,20.0,12.0,0.0153667253,15.3667253,1.0,True,8.0,5.7905267314918945
BCAT_125,20.0,0.5,20.0,20.0,15.0,0.0187422565,18.7422565,1.0,True,8.0,5.7905267314918945
VCT_082,20.0,0.5,5.0,5.0,5.0,0.00866013245,8.66013245,0.0,False,8.0,13.290526731491894
VCT_082,20.0,0.5,5.0,5.0,8.0,0.01392031,13.92031,0.9999115648639442,True,8.0,13.290526731491894
VCT_082,20.0,0.5,5.0,5.0,10.0,0.0163988113,16.3988113,0.9999999998434088,True,8.0,13.290526731491894
VCT_082,20.0,0.5,5.0,5.0,12.0,0.0183492752,18.3492752,0.9999999999999999,True,8.0,13.290526731491894
