deck,model_id,corner,ccell_ff,vbl_pre_fraction,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
VCT_102_ss_read_15ff_vbl45.sp,VCT_102,ss,15.0,0.45,,,,,
VCT_102_ss_read_15ff_vbl50.sp,VCT_102,ss,15.0,0.5,,,,,
VCT_102_ss_read_20ff_vbl40.sp,VCT_102,ss,20.0,0.4,,,,,
VCT_102_ss_read_20ff_vbl45.sp,VCT_102,ss,20.0,0.45,,,,,
VCT_102_ss_read_20ff_vbl50.sp,VCT_102,ss,20.0,0.5,,,,,
VCT_102_ss_read_30ff_vbl40.sp,VCT_102,ss,30.0,0.4,,,,,
VCT_102_ss_read_30ff_vbl45.sp,VCT_102,ss,30.0,0.45,,,,,
VCT_102_ss_read_30ff_vbl50.sp,VCT_102,ss,30.0,0.5,,,,,
VCT_125_ss_read_10ff_vbl40.sp,VCT_125,ss,10.0,0.4,,,,,
VCT_125_ss_read_10ff_vbl45.sp,VCT_125,ss,10.0,0.45,,,,,
VCT_125_ss_read_10ff_vbl50.sp,VCT_125,ss,10.0,0.5,,,,,
VCT_125_ss_read_15ff_vbl40.sp,VCT_125,ss,15.0,0.4,,,,,
VCT_125_ss_read_15ff_vbl45.sp,VCT_125,ss,15.0,0.45,,,,,
VCT_125_ss_read_15ff_vbl50.sp,VCT_125,ss,15.0,0.5,,,,,
VCT_125_ss_read_20ff_vbl40.sp,VCT_125,ss,20.0,0.4,,,,,
VCT_125_ss_read_20ff_vbl45.sp,VCT_125,ss,20.0,0.45,,,,,
VCT_125_ss_read_20ff_vbl50.sp,VCT_125,ss,20.0,0.5,,,,,
VCT_125_ss_read_30ff_vbl40.sp,VCT_125,ss,30.0,0.4,,,,,
VCT_125_ss_read_30ff_vbl45.sp,VCT_125,ss,30.0,0.45,,,,,
VCT_125_ss_read_30ff_vbl50.sp,VCT_125,ss,30.0,0.5,,,,,
