model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
BCAT_125,BCAT,ss,27.0,0.765,0.765,7.813873592923575,4.09535e-07,8.59385e-15,5.5777842740384145,1867922.0405033866,1267435.5223242613,1.06177e-17,7.63386e-13,8.59385e-15,1.2026589376285123e-17,38570971114.271454,3.735844081006774e-08,4.871797052154196,4.2e-08,1910.0
VCT_082,VCT,ss,27.0,0.81,0.81,7.807571165628226,9.25089e-07,4.73995e-14,85.60857245459167,875480.703756785,451082.5982357658,9.774940000000001e-20,1.5659399999999999e-12,4.73995e-14,5.52662406262872e-18,9463884177294.182,1.7509614075135702e-08,13.16652777777778,6e-08,25420.0
VCT_091,VCT,ss,27.0,0.81,0.81,7.804848301445056,9.73073e-07,4.95493e-14,85.80799501740675,832308.3609998799,428385.56816619245,9.19751e-20,1.64598e-12,4.95493e-14,5.5271867092509155e-18,10579743865459.238,1.66461672199976e-08,13.763694444444447,6e-08,26820.0
VCT_102,VCT,ss,27.0,0.81,0.81,7.801460808217882,1.03736e-06,5.24171e-14,86.06441980222723,780730.416678715,401311.94324160967,8.561429999999999e-20,1.7531e-12,5.24171e-14,5.5277988982963656e-18,12116667425885.629,1.5614608333574302e-08,14.560305555555557,6e-08,28720.0
VCT_125,VCT,ss,27.0,0.81,0.81,8.346997313027469,1.67111e-06,2.69385e-13,85.57236392686123,484684.5660876382,295195.95909531554,9.13661e-20,2.92412e-12,2.69385e-13,5.686292631838544e-18,18290263018778.3,9.693691321752765e-09,74.82916666666668,6e-08,28720.0
3D_gaa_Si,3D_GAA,ss,27.0,0.675,0.675,7.836973891342237,1.30579e-06,2.88545e-14,5.536963549943925,516916.5734940498,349205.3637943879,1.45976e-17,2.43153e-12,2.88545e-14,2.5887296712088122e-17,89452375732.99721,1.0338331469880997e-08,59.61673553719009,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,ss,27.0,0.675,0.675,11.461294889916902,3.48367e-06,2.08824e-11,11.418515010623299,193756.727664155,139570.37138125044,3.91089e-18,6.38205e-12,2.08824e-11,2.0209587616839378e-17,890761437933.565,3.875134553283101e-09,5800.666666666668,6e-08,5000.0
