model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
BCAT_125,BCAT,cold,-40.0,0.85,0.85,5.875019578755283,5.23846e-07,3.21466e-17,3.7867999297224637,1622589.5001278983,1139842.594442664,1.14567e-17,9.78075e-13,3.21466e-17,1.6820930906376498e-17,45723986837.396454,3.245179000255797e-08,0.018223696145124715,4.2e-08,1910.0
VCT_082,VCT,cold,-40.0,0.9,0.9,5.676565372489561,1.11473e-06,1.1395e-16,72.89321534138625,807305.2151916901,439697.8787020119,1.00266e-19,1.92889e-12,1.1395e-16,6.926471913393901e-18,11117726846588.076,1.6146104303833806e-08,0.03165277777777779,6e-08,25420.0
VCT_091,VCT,cold,-40.0,0.9,0.9,5.675498642071733,1.17314e-06,1.19208e-16,73.04337134814253,767113.0127937404,417546.220046858,9.44645e-20,2.02892e-12,1.19208e-16,6.9273863939668494e-18,12418845174642.326,1.534226025587481e-08,0.03311333333333334,6e-08,26820.0
VCT_102,VCT,cold,-40.0,0.9,0.9,5.673582899114375,1.25156e-06,1.26255e-16,73.23794356828678,719050.8528742061,391081.601348797,8.80672e-20,2.16314e-12,1.26255e-16,6.9283866608122496e-18,14211420369899.35,1.4381017057484125e-08,0.035070833333333336,6e-08,28720.0
VCT_125,VCT,cold,-40.0,0.9,0.9,6.1014013619836795,1.87302e-06,1.02051e-15,72.84261442582269,480494.5890970439,301625.76286182523,9.18611e-20,3.32207e-12,1.02051e-15,7.12829624705415e-18,20389697053486.188,9.60989178194088e-09,0.2834750000000001,6e-08,28720.0
3D_gaa_Si,3D_GAA,cold,-40.0,0.75,0.75,5.892566817842164,1.82796e-06,1.20265e-16,3.7845602135697654,410286.7083517962,288413.83924966253,1.61078e-17,3.40735e-12,1.20265e-16,3.7397084357962487e-17,113482908901.27765,8.205734167035925e-09,0.24848140495867768,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,cold,-40.0,0.75,0.75,8.458755272524456,3.99605e-06,3.37464e-13,8.301473989923203,187682.5212519175,137976.7095314311,4.1517499999999995e-18,7.35905e-12,3.37464e-13,2.664372382010625e-17,962497741916.0596,3.7536504250383505e-09,93.74000000000001,6e-08,5000.0
