model_id,corner,t_bl_settle_s_ngspice,i_bl_leak_a_ngspice,t_bl_settle_s_spectre,i_bl_leak_a_spectre
3D_gaa_AOS,hot,2.39647e-09,2.52489e-10,,
3D_gaa_Si,hot,2.33589e-09,6.9679e-10,,
BCAT_125,hot,5.56656e-09,2.73218e-10,,
VCT_082,hot,4.1956e-09,2.0244e-10,,
VCT_091,hot,4.08085e-09,2.05169e-10,,
VCT_102,hot,3.94415e-09,2.08546e-10,,
VCT_125,hot,3.1987e-09,2.70874e-10,,
