model_id,corner,rel_diff_t_bl_settle_s_ngspice_vs_spectre,rel_diff_i_bl_leak_a_ngspice_vs_spectre
3D_gaa_AOS,hot,,
3D_gaa_Si,hot,,
BCAT_125,hot,,
VCT_082,hot,,
VCT_091,hot,,
VCT_102,hot,,
VCT_125,hot,,
