model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
VCT_110,tt,10.0,1.90072e-09,2.28559e-08,3.06566e-11,1.0600900000000001e-18,1.90085276e-09,2.2922485e-08,5.75755988e-11,7.96149478e-19
VCT_110,tt,20.0,1.90036e-09,2.28611e-08,3.0658e-11,1.02413e-18,1.90042638e-09,2.29279978e-08,5.75676699e-11,7.50507165e-19
VCT_110,tt,30.0,1.90024e-09,2.28628e-08,3.06585e-11,1.01209e-18,1.90028425e-09,2.29299896e-08,5.75968476e-11,7.35015905e-19
