model_id,corner,rel_diff_t_bl_settle_s_ngspice_vs_spectre,rel_diff_i_bl_leak_a_ngspice_vs_spectre
3D_gaa_AOS,ss_125,,
3D_gaa_Si,ss_125,,
BCAT_125,ss_125,,
VCT_082,ss_125,,
VCT_091,ss_125,,
VCT_102,ss_125,,
VCT_125,ss_125,,
