model_id,architecture,corner,ccell_ff,temp_c,vdd,fpitch_m,t_ret_s,t_refresh_s,t_rcd_s,t_wr_s,e_read_j,e_write_j,i_leak_a,i_leak_density_a_m2,source,simulator
VCT_125,VCT,tt,50.0,27.0,0.9,6e-08,4.34271528505968e-05,6.265213805748302e-05,1.0927997800000001e-08,-9.95736200000003e-11,6.754564485e-19,8.329845469999999e-18,5.75676699e-11,15991.01941666667,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,tt,10.0,27.0,0.75,2.2e-08,2.9898225364523054e-05,4.313402146477803e-05,1.0910538600000001e-08,-9.967643000000024e-11,2.6892277275e-19,3.2322734099999996e-17,1.67234006e-11,34552.4805785124,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,tt,15.0,27.0,0.75,2.2e-08,4.484733804678458e-05,6.470103219716705e-05,1.0910538600000001e-08,-9.967643000000024e-11,2.6892277275e-19,3.2322734099999996e-17,1.67234006e-11,34552.4805785124,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,tt,20.0,27.0,0.75,2.2e-08,5.979645072904611e-05,8.626804292955606e-05,1.0910538600000001e-08,-9.967643000000024e-11,2.6892277275e-19,3.2322734099999996e-17,1.67234006e-11,34552.4805785124,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,tt,30.0,27.0,0.75,2.2e-08,8.969467609356916e-05,0.0001294020643943341,1.0910538600000001e-08,-9.967643000000024e-11,2.6892277275e-19,3.2322734099999996e-17,1.67234006e-11,34552.4805785124,derived_from_golden_bench,
3D_gaa_Si,3D_GAA,tt,50.0,27.0,0.75,2.2e-08,0.00014949112682261528,0.00021567010732389017,1.0910538600000001e-08,-9.967643000000024e-11,2.6892277275e-19,3.2322734099999996e-17,1.67234006e-11,34552.4805785124,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,tt,10.0,27.0,0.75,6e-08,1.447110468280201e-06,2.0877390962063515e-06,1.0572234482758663e-08,-9.906684999999998e-11,1.14685644e-19,2.26919541e-17,3.45516124e-10,95976.70111111114,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,tt,15.0,27.0,0.75,6e-08,2.1706657024203017e-06,3.1316086443095277e-06,1.0572234482758663e-08,-9.906684999999998e-11,1.14685644e-19,2.26919541e-17,3.45516124e-10,95976.70111111114,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,tt,20.0,27.0,0.75,6e-08,2.894220936560402e-06,4.175478192412703e-06,1.0572234482758663e-08,-9.906684999999998e-11,1.14685644e-19,2.26919541e-17,3.45516124e-10,95976.70111111114,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,tt,30.0,27.0,0.75,6e-08,4.341331404840603e-06,6.263217288619055e-06,1.0572234482758663e-08,-9.906684999999998e-11,1.14685644e-19,2.26919541e-17,3.45516124e-10,95976.70111111114,derived_from_golden_bench,
3D_gaa_AOS,3D_GAA,tt,50.0,27.0,0.75,6e-08,7.235552341401005e-06,1.043869548103176e-05,1.0572234482758663e-08,-9.906684999999998e-11,1.14685644e-19,2.26919541e-17,3.45516124e-10,95976.70111111114,derived_from_golden_bench,
BCAT_125,BCAT,hot,10.0,85.0,0.85,4.2e-08,0.0062125582239869566,0.008962826940979928,1.06969571e-08,-9.985974000000019e-11,7.993011124999999e-20,1.3560498299999999e-17,8.04821431e-14,45.624797675736964,derived_from_golden_bench,
BCAT_125,BCAT,hot,15.0,85.0,0.85,4.2e-08,0.009318837335980434,0.013444240411469893,1.06969571e-08,-9.985974000000019e-11,7.993011124999999e-20,1.3560498299999999e-17,8.04821431e-14,45.624797675736964,derived_from_golden_bench,
BCAT_125,BCAT,hot,20.0,85.0,0.85,4.2e-08,0.012425116447973913,0.017925653881959856,1.06969571e-08,-9.985974000000019e-11,7.993011124999999e-20,1.3560498299999999e-17,8.04821431e-14,45.624797675736964,derived_from_golden_bench,
BCAT_125,BCAT,hot,30.0,85.0,0.85,4.2e-08,0.01863767467196087,0.026888480822939785,1.06969571e-08,-9.985974000000019e-11,7.993011124999999e-20,1.3560498299999999e-17,8.04821431e-14,45.624797675736964,derived_from_golden_bench,
BCAT_125,BCAT,hot,50.0,85.0,0.85,4.2e-08,0.031062791119934784,0.044814134704899644,1.06969571e-08,-9.985974000000019e-11,7.993011124999999e-20,1.3560498299999999e-17,8.04821431e-14,45.624797675736964,derived_from_golden_bench,
VCT_082,VCT,hot,10.0,85.0,0.9,6e-08,8.858784314450104e-06,1.2780524198762102e-05,1.0920046800000001e-08,-9.957414000000014e-11,6.119791821000001e-19,8.25145368e-18,5.64411529e-11,15678.09802777778,derived_from_golden_bench,
VCT_082,VCT,hot,15.0,85.0,0.9,6e-08,1.3288176471675157e-05,1.9170786298143154e-05,1.0920046800000001e-08,-9.957414000000014e-11,6.119791821000001e-19,8.25145368e-18,5.64411529e-11,15678.09802777778,derived_from_golden_bench,
VCT_082,VCT,hot,20.0,85.0,0.9,6e-08,1.771756862890021e-05,2.5561048397524203e-05,1.0920046800000001e-08,-9.957414000000014e-11,6.119791821000001e-19,8.25145368e-18,5.64411529e-11,15678.09802777778,derived_from_golden_bench,
