model_id,corner,rel_diff_t_bl_settle_s_ngspice_vs_spectre,rel_diff_i_bl_leak_a_ngspice_vs_spectre
3D_gaa_AOS,ss,,
3D_gaa_Si,ss,,
BCAT_125,ss,,
VCT_082,ss,,
VCT_091,ss,,
VCT_102,ss,,
VCT_125,ss,,
