model_id,corner,vt_v_ngspice,ss_mv_dec_ngspice,ion_a_ngspice,ioff_a_ngspice,dibl_mv_v_ngspice,ron_ohm_ngspice,ron_boost_ohm_ngspice,cgg_f_ngspice,cgd_f_ngspice,igidl_a_ngspice,esw_j_ngspice,ion_per_cgg_ngspice,ron_x_cload_ngspice,ioff_density_a_m2_ngspice,vt_v_spectre,ss_mv_dec_spectre,ion_a_spectre,ioff_a_spectre,dibl_mv_v_spectre,ron_ohm_spectre,ron_boost_ohm_spectre,cgg_f_spectre,cgd_f_spectre,igidl_a_spectre,esw_j_spectre,ion_per_cgg_spectre,ron_x_cload_spectre,ioff_density_a_m2_spectre
3D_gaa_AOS,ss,0.675,11.461294889916902,3.48367e-06,2.08824e-11,11.4185150106233,193756.727664155,139570.37138125044,3.91089e-18,6.38205e-12,2.08824e-11,2.0209587616839378e-17,890761437933.565,3.875134553283101e-09,5800.666666666668,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
3D_gaa_Si,ss,0.675,7.836973891342237,1.30579e-06,2.88545e-14,5.536963549943925,516916.5734940498,349205.3637943879,1.45976e-17,2.43153e-12,2.88545e-14,2.5887296712088122e-17,89452375732.99721,1.0338331469880997e-08,59.61673553719009,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
BCAT_125,ss,0.765,7.813873592923575,4.09535e-07,8.59385e-15,5.577784274038415,1867922.0405033864,1267435.5223242613,1.06177e-17,7.63386e-13,8.59385e-15,1.2026589376285125e-17,38570971114.271454,3.7358440810067745e-08,4.871797052154196,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_082,ss,0.81,7.807571165628226,9.25089e-07,4.73995e-14,85.60857245459167,875480.703756785,451082.5982357658,9.774940000000001e-20,1.56594e-12,4.73995e-14,5.52662406262872e-18,9463884177294.182,1.7509614075135702e-08,13.16652777777778,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_091,ss,0.81,7.804848301445056,9.73073e-07,4.95493e-14,85.80799501740675,832308.3609998799,428385.5681661925,9.197509999999999e-20,1.64598e-12,4.95493e-14,5.527186709250916e-18,10579743865459.238,1.66461672199976e-08,13.763694444444448,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_102,ss,0.81,7.801460808217882,1.03736e-06,5.24171e-14,86.06441980222723,780730.416678715,401311.94324160967,8.561429999999999e-20,1.7531e-12,5.24171e-14,5.5277988982963656e-18,12116667425885.629,1.5614608333574302e-08,14.560305555555557,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_125,ss,0.81,8.346997313027469,1.67111e-06,2.69385e-13,85.57236392686123,484684.5660876382,295195.95909531554,9.136609999999999e-20,2.92412e-12,2.69385e-13,5.6862926318385445e-18,18290263018778.3,9.693691321752764e-09,74.82916666666668,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
