model_id,corner,t_bl_settle_s_ngspice,i_bl_leak_a_ngspice,t_bl_settle_s_spectre,i_bl_leak_a_spectre
3D_gaa_AOS,ss,2.62001e-09,2.27201e-10,4.16979844e-09,1.96160981e-10
3D_gaa_Si,ss,2.52565e-09,5.96592e-10,3.12651516e-09,4.75327425e-10
BCAT_125,ss,7.13034e-09,1.79941e-10,1.25347948e-08,8.96597014e-11
VCT_082,ss,8.83936e-09,8.84441e-11,1.22382352e-08,7.46901474e-11
VCT_091,ss,8.514e-09,9.06496e-11,1.17955283e-08,7.72547392e-11
VCT_102,ss,8.12398e-09,9.34105e-11,1.12847446e-08,8.03576809e-11
VCT_125,ss,4.6543e-09,1.56775e-10,6.96580458e-09,1.32794542e-10
