model_id,corner,rel_diff_vt_v_ngspice_vs_spectre,rel_diff_ss_mv_dec_ngspice_vs_spectre,rel_diff_ion_a_ngspice_vs_spectre,rel_diff_ioff_a_ngspice_vs_spectre,rel_diff_dibl_mv_v_ngspice_vs_spectre,rel_diff_ron_ohm_ngspice_vs_spectre,rel_diff_ron_boost_ohm_ngspice_vs_spectre,rel_diff_cgg_f_ngspice_vs_spectre,rel_diff_cgd_f_ngspice_vs_spectre,rel_diff_igidl_a_ngspice_vs_spectre,rel_diff_esw_j_ngspice_vs_spectre,rel_diff_ion_per_cgg_ngspice_vs_spectre,rel_diff_ron_x_cload_ngspice_vs_spectre,rel_diff_ioff_density_a_m2_ngspice_vs_spectre
3D_gaa_AOS,ss,0.0,-0.191929381446434,1.5651778333296598,-0.7459328345275166,-0.43286665702424326,-0.6101724315481226,-0.5783889085891423,-0.9425757383149984,1.6726608398733613,-0.7459328345275166,0.15327647034590514,43.67062802480314,-0.6101724315481225,-0.7459328345275166
3D_gaa_Si,ss,0.0,0.02747103500623782,0.7800864422485315,1.8943668205825102,-0.19384096339871892,-0.4382424349632286,-0.4134920655036198,-0.907288142997179,0.8133576744108623,1.8943668205825102,0.11577669221350038,18.20020264715835,-0.4382424349632287,1.89436682058251
BCAT_125,ss,0.0,-0.14765691025919528,0.9227507406805253,-0.8581304393859027,-0.35198821124181634,-0.47992575365686235,-0.45397318676616594,-0.7625996209258574,0.9688528320691681,-0.8581304393859027,0.20530880300537574,7.09918985040892,-0.47992575365686213,-0.8581304393859027
VCT_082,ss,0.0,-0.2642929990960224,0.6261332075855054,-0.9840797983736919,-0.3508283229228592,-0.3851219955687178,-0.42997981785874284,-0.9916567267300391,0.7496570465372742,-0.9840797983736919,-0.1556542771428147,193.90350549109237,-0.38512199556871785,-0.984079798373692
VCT_091,ss,0.0,-0.26400828214984623,0.6324759054944262,-0.9839745720505868,-0.3520595749608947,-0.3875115822840341,-0.4319032277322566,-0.9921577598312957,0.7591981809866443,-0.9839745720505868,-0.1552319291157007,207.16448749033248,-0.3875115822840341,-0.9839745720505867
VCT_102,ss,0.0,-0.26363216066279777,0.6409966626197153,-0.9838301343881177,-0.35364661412609794,-0.3906905952338432,-0.434449805398448,-0.992707633613424,0.7720790122957419,-0.9838301343881177,-0.15471774528567528,224.02937669732034,-0.3906905952338432,-0.9838301343881176
VCT_125,ss,0.0,-0.24563709017740012,0.7698282218883411,-0.9691663978124055,-0.34656901024350373,-0.4350004606837992,-0.4454994829731926,-0.9924776462031907,0.8857877959905114,-0.9691663978124055,-0.14743478911393754,234.27585509724636,-0.4350004606837994,-0.9691663978124054
