model_id,corner,t_bl_settle_s_ngspice,i_bl_leak_a_ngspice,t_bl_settle_s_spectre,i_bl_leak_a_spectre
3D_gaa_AOS,cold,2.57376e-09,2.52573e-10,,
3D_gaa_Si,cold,2.36264e-09,6.93691e-10,,
BCAT_125,cold,6.3254e-09,2.31664e-10,,
VCT_082,cold,7.8742e-09,1.0164e-10,,
VCT_091,cold,7.58716e-09,1.03733e-10,,
VCT_102,cold,7.24307e-09,1.06339e-10,,
VCT_125,cold,4.50038e-09,1.71855e-10,,
