model_id,corner,vt_v_ngspice,ss_mv_dec_ngspice,ion_a_ngspice,ioff_a_ngspice,dibl_mv_v_ngspice,ron_ohm_ngspice,ron_boost_ohm_ngspice,cgg_f_ngspice,cgd_f_ngspice,igidl_a_ngspice,esw_j_ngspice,ion_per_cgg_ngspice,ron_x_cload_ngspice,ioff_density_a_m2_ngspice,vt_v_spectre,ss_mv_dec_spectre,ion_a_spectre,ioff_a_spectre,dibl_mv_v_spectre,ron_ohm_spectre,ron_boost_ohm_spectre,cgg_f_spectre,cgd_f_spectre,igidl_a_spectre,esw_j_spectre,ion_per_cgg_spectre,ron_x_cload_spectre,ioff_density_a_m2_spectre
3D_gaa_AOS,cold,0.75,8.458755272524456,3.99605e-06,3.37464e-13,8.301473989923203,187682.5212519175,137976.7095314311,4.15175e-18,7.35905e-12,3.37464e-13,2.664372382010625e-17,962497741916.0596,3.7536504250383505e-09,93.74,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
3D_gaa_Si,cold,0.75,5.892566817842164,1.82796e-06,1.20265e-16,3.784560213569765,410286.7083517962,288413.83924966253,1.61078e-17,3.40735e-12,1.20265e-16,3.739708435796249e-17,113482908901.27763,8.205734167035925e-09,0.2484814049586776,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
BCAT_125,cold,0.85,5.875019578755283,5.23846e-07,3.21466e-17,3.786799929722464,1622589.5001278983,1139842.594442664,1.14567e-17,9.78075e-13,3.21466e-17,1.6820930906376498e-17,45723986837.39645,3.245179000255797e-08,0.0182236961451247,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_082,cold,0.9,5.676565372489561,1.11473e-06,1.1395e-16,72.89321534138625,807305.2151916901,439697.8787020119,1.0026600000000001e-19,1.92889e-12,1.1395e-16,6.9264719133939016e-18,11117726846588.076,1.6146104303833806e-08,0.0316527777777777,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_091,cold,0.9,5.675498642071733,1.17314e-06,1.19208e-16,73.04337134814253,767113.0127937404,417546.220046858,9.446449999999999e-20,2.02892e-12,1.19208e-16,6.92738639396685e-18,12418845174642.326,1.5342260255874812e-08,0.0331133333333333,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_102,cold,0.9,5.673582899114375,1.25156e-06,1.26255e-16,73.23794356828678,719050.8528742061,391081.601348797,8.806719999999999e-20,2.16314e-12,1.26255e-16,6.9283866608122496e-18,14211420369899.35,1.4381017057484125e-08,0.0350708333333333,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
VCT_125,cold,0.9,6.10140136198368,1.87302e-06,1.02051e-15,72.84261442582269,480494.5890970439,301625.76286182523,9.18611e-20,3.32207e-12,1.02051e-15,7.12829624705415e-18,20389697053486.188,9.60989178194088e-09,0.2834750000000001,,,0.0,0.0,,,,,,0.0,0.0,,,0.0
