model_id,architecture,corner,temp_c,vdd,vt_v,ss_mv_dec,ion_a,ioff_a,dibl_mv_v,ron_ohm,ron_boost_ohm,cgg_f,cgd_f,igidl_a,esw_j,ion_per_cgg,ron_x_cload,ioff_density_a_m2,fpitch_m,vsat
BCAT_125,BCAT,tt,27.0,0.85,0.85,7.684410855316418,5.57768e-07,8.68425e-15,4.978471759550567,1523903.7753371412,1084189.2050469643,1.15524e-17,1.03875e-12,8.68425e-15,1.665076201145512e-17,48281569197.74246,3.047807550674283e-08,4.9230442176870755,4.2e-08,1910.0
VCT_082,VCT,tt,27.0,0.9,0.9,7.612620686697877,1.59533e-06,5.94417e-14,84.85107362442518,564118.3144144765,338113.25291246996,1.04088e-19,2.78472e-12,5.94417e-14,7.004955894737401e-18,15326742756129.43,1.1282366288289532e-08,16.511583333333334,6e-08,25420.0
VCT_091,VCT,tt,27.0,0.9,0.9,7.609600566616122,1.67965e-06,6.21448e-14,85.04614347380073,535800.3964922935,320912.81868425745,9.78755e-20,2.93033e-12,6.21448e-14,7.00640799930945e-18,17161087299681.74,1.071600792984587e-08,17.262444444444448,6e-08,26820.0
VCT_102,VCT,tt,27.0,0.9,0.9,7.605847149765004,1.79269e-06,6.57517e-14,85.2960881204264,502013.6324590859,300414.5721095111,9.103190000000001e-20,3.12541e-12,6.57517e-14,7.007986037813851e-18,19692986744207.246,1.0040272649181719e-08,18.264361111111114,6e-08,28720.0
VCT_125,VCT,tt,27.0,0.9,0.9,8.19787393766173,2.50689e-06,3.35383e-13,84.8352058298155,359000.54248970863,238355.6637278296,9.45308e-20,4.45553e-12,3.35383e-13,7.188759051751349e-18,26519293182751.02,7.180010849794174e-09,93.16194444444446,6e-08,28720.0
3D_gaa_Si,3D_GAA,tt,27.0,0.75,0.75,7.705053320940546,1.78523e-06,2.91625e-14,4.938138207813377,420106.87518904806,298079.177778396,1.62666e-17,3.3219299999999998e-12,2.91625e-14,3.673373041610625e-17,109748195689.3266,8.402137503780962e-09,60.253099173553714,2.2e-08,1600.0
3D_gaa_AOS,3D_GAA,tt,27.0,0.75,0.75,11.230947594384524,4.53402e-06,2.12964e-11,10.528347613021479,165413.20217904323,122756.4217976123,4.13922e-18,8.30307e-12,2.12964e-11,2.625689432565e-17,1095380289039.9641,3.308264043580865e-09,5915.666666666668,6e-08,5000.0
